regime,seed,auc,accuracy,sensitivity,specificity,f1,brier_score
Simulator-Trained + Simulator-Tested (Ideal),42,0.9983465608465609,0.9824561403508771,0.9523809523809523,1.0,0.975609756097561,0.016968172043561935
Simulator-Trained + Noisy-Tested (Direct Transfer),42,0.9983465608465609,0.9824561403508771,0.9523809523809523,1.0,0.975609756097561,0.018045563250780106
Noise-Aware-Trained + Noisy-Tested,42,0.9973544973544974,0.956140350877193,0.8809523809523809,1.0,0.9367088607594937,0.03391217067837715
Noise-Aware-Trained + Noisy-Tested,101,0.9983465608465609,0.9649122807017544,0.9047619047619048,1.0,0.95,0.024597473442554474
Noise-Aware-Trained + Noisy-Tested,202,0.9976851851851852,0.9385964912280702,0.9761904761904762,0.9166666666666666,0.9213483146067416,0.0281451977789402
