pca_dim,size_frac,mean_auc_A,std_auc_A,mean_auc_B,std_auc_B,mean_diff_A_minus_B,p_raw,significant_holm
4,0.1,0.6688572471705001,0.09557518888492268,0.7248630887185105,0.05305125896222716,-0.05600584154801023,0.10546875,False
4,0.25,0.757064622124863,0.08464958504618196,0.7841913106973348,0.0361133841146974,-0.027126688572471726,0.205078125,False
4,0.5,0.7943410003650967,0.03790367226530027,0.8047827674333698,0.025640113421231518,-0.01044176706827311,0.232421875,False
4,1.0,0.7488682000730194,0.08775622929349312,0.8132530120481928,0.005966288624279014,-0.06438481197517341,0.00390625,True
6,0.1,0.6683461117196057,0.07295437050329265,0.6737860533041256,0.07473491246938718,-0.005439941584519881,0.76953125,False
6,0.25,0.7464403066812705,0.06164737286060723,0.781416575392479,0.020188265741457483,-0.03497626871120846,0.1640625,False
6,0.5,0.758086893026652,0.07597736189265654,0.7861993428258489,0.02462452407715647,-0.028112449799196793,0.232421875,False
6,1.0,0.7780394304490691,0.0776851099548678,0.8082876962395036,0.008423297144992637,-0.03024826579043447,0.287109375,False
8,0.1,0.6662650602409639,0.09278249201141534,0.6571924059875867,0.07696151389599744,0.009072654253377171,0.6953125,False
8,0.25,0.7306316173786053,0.08004229818614055,0.7456736035049288,0.08283581043861611,-0.015041986126323487,0.275390625,False
8,0.5,0.7781672143117927,0.0261401114743541,0.7492515516611902,0.05403328299925318,0.028915662650602404,0.10546875,False
8,1.0,0.7613545089448704,0.10631151124033404,0.75206279664111,0.09579215515092905,0.009291712303760502,0.16015625,False
