n_qubits,n_samples,mean_grad,var_grad,std_grad,log10_var_grad,elapsed_sec
2,300,-0.012193489568307996,0.29153525691837967,0.5399400493743538,-0.5353089161736128,1.33
4,300,0.005918569094501436,0.05021888944924959,0.22409571492835287,-1.2991328955935393,10.38
6,300,0.0008795719081535936,0.012380987932454271,0.1112698878064244,-1.9072446997024188,2.62
8,300,-3.7535916587027414e-05,0.004160631410559139,0.06450295660323749,-2.3808407565575957,3.63
10,300,-0.0011279405567377883,0.0014462676102926372,0.03802982527297012,-2.8397513398767686,4.82
12,300,0.0013645859689010347,0.00041092445207992933,0.020271271595041326,-3.3862380152544977,6.51
