dataset,mean_kta_qsvm,std_kta_qsvm,mean_kta_csvm,std_kta_csvm,delta_kta_mean,phase3_delta_auc,holm_significant,phase3_favors,elapsed_sec
WDBC,0.09765795081997244,0.0027255016163019712,0.304423530794994,0.004976494304973023,-0.20676557997502157,-0.1257936507936508,True,Classical SVM,4.99
Heart Disease,0.06793356461929059,0.0028350244118715492,0.19004878257254565,0.011185487162034779,-0.12211521795325506,-0.2473214285714286,True,Classical SVM,2.67
Parkinson's,0.15410806184580275,0.00583263735098437,0.2032857732708148,0.009214181003547817,-0.04917771142501201,-0.0275862068965517,False,Parity / No Sig Diff,1.83
Liver (ILPD),0.08171255093363253,0.0066919933743633305,0.1015770153062536,0.005308154752787396,-0.019864464372621078,-0.0930996714129244,True,Classical SVM,5.12
Kidney (17-feat ablated),0.39575282725961036,0.06044674988767274,0.6582480439320889,0.01053613563013247,-0.26249521667247866,-0.0038647342995169,False,Parity / No Sig Diff,1.45
