auc,acc,sens,spec,f1,brier,ece,model_type,seed,train_time_sec
0.9953703703703703,0.9649122807017544,0.9047619047619048,1.0,0.95,0.02360377460718155,0.03443061302236297,Single Seed 42,42,12.88
0.9966931216931217,0.956140350877193,0.8809523809523809,1.0,0.9367088607594937,0.031374476850032806,0.04305957969310775,Single Seed 43,43,13.02
0.9973544973544973,0.956140350877193,0.8809523809523809,1.0,0.9367088607594937,0.02941569872200489,0.037171695291538506,Single Seed 44,44,13.69
0.9966931216931216,0.9649122807017544,0.9285714285714286,0.9861111111111112,0.9512195121951219,0.02373032458126545,0.028945871808549812,Single Seed 45,45,13.36
0.9983465608465609,0.9736842105263158,0.9285714285714286,1.0,0.9629629629629629,0.020344579592347145,0.03946692366643171,Single Seed 46,46,13.7
0.9976851851851851,0.9736842105263158,0.9285714285714286,1.0,0.9629629629629629,0.021976012736558914,0.03304664057826524,Single Seed 47,47,13.75
0.9966931216931217,0.956140350877193,0.8809523809523809,1.0,0.9367088607594937,0.028081046417355537,0.03155033638406741,Single Seed 48,48,13.69
0.9976851851851851,0.9824561403508771,0.9761904761904762,0.9861111111111112,0.9761904761904762,0.01867549493908882,0.03610967005717388,Single Seed 49,49,13.82
0.9976851851851851,0.956140350877193,0.9761904761904762,0.9444444444444444,0.9425287356321839,0.023007553070783615,0.03914161967603784,Single Seed 50,50,14.13
0.9966931216931216,0.9298245614035088,0.8095238095238095,1.0,0.8947368421052632,0.04679453745484352,0.0610337848039834,Single Seed 51,51,13.66
0.9976851851851852,0.9649122807017544,0.9047619047619048,1.0,0.95,0.02257606014609337,0.03747039544804577,10-Seed Uniform Ensemble,Ensemble (42-51),136.85
-0.0007,-0.0088,-0.0238,0.0,-0.013,0.0022,-0.002,Delta (Ensemble - Best Single),Delta,
