dataset,mean_auc_qsvm,std_auc_qsvm,mean_auc_csvm,std_auc_csvm,mean_acc_qsvm,mean_acc_csvm,diff_q_minus_c,wilcoxon_stat,raw_p,holm_rank,holm_threshold,holm_significant,favors
WDBC,0.8674272486772487,0.030962148127706875,0.9932208994708995,0.004417499299557205,0.7710526315789473,0.9578947368421054,-0.12579365079365085,0.0,0.001953125,1,0.01,True,Classical SVM
Heart Disease,0.6428571428571429,0.06457416066636334,0.8901785714285715,0.03650150808493382,0.6050000000000001,0.8400000000000001,-0.24732142857142864,0.0,0.001953125,2,0.0125,True,Classical SVM
Liver (ILPD),0.5704636728733115,0.051631251347284655,0.6635633442862358,0.04712584512015284,0.6905172413793103,0.7137931034482758,-0.09309967141292444,1.0,0.00390625,3,0.016666666666666666,True,Classical SVM
Kidney (17-feat ablated),0.996135265700483,0.0060338144912061974,1.0,0.0,0.984375,1.0,-0.003864734299516914,0.0,0.25,4,0.025,False,Parity / No Sig Diff
Parkinson's,0.8813793103448276,0.04541262795352915,0.9089655172413792,0.06508386613740152,0.8282051282051283,0.8794871794871796,-0.027586206896551713,16.5,0.28515625,5,0.05,False,Parity / No Sig Diff
