seed,control,val_auc,val_acc,test_auc,test_acc,train_time_sec
42,A,0.7928153717627402,0.7948717948717948,0.8345864661654134,0.8076923076923077,16.10876774787903
42,B,0.822890559732665,0.8589743589743589,0.8032581453634086,0.7756410256410257,0.6683046817779541
42,C,0.8412698412698413,0.7948717948717948,0.786967418546366,0.7692307692307693,14.222691297531128
42,D,0.8003341687552215,0.7948717948717948,0.8458646616541354,0.7884615384615384,7.79924750328064
43,A,0.8187134502923977,0.8461538461538461,0.8448203842940685,0.7948717948717948,15.90922498703003
43,B,0.8421052631578947,0.8333333333333334,0.8070175438596491,0.8076923076923077,0.7926845550537109
43,C,0.7878028404344193,0.7692307692307693,0.8201754385964912,0.7756410256410257,17.11081337928772
43,D,0.7719298245614035,0.782051282051282,0.8322890559732664,0.8076923076923077,9.44857382774353
44,A,0.7502088554720133,0.7948717948717948,0.8164160401002506,0.7948717948717948,17.83796525001526
44,B,0.8245614035087719,0.8846153846153846,0.8172514619883041,0.8012820512820513,0.8152201175689697
44,C,0.8320802005012532,0.7948717948717948,0.8224728487886382,0.7371794871794872,17.35066318511963
44,D,0.7953216374269005,0.7948717948717948,0.8408521303258145,0.7948717948717948,9.649288415908813
45,A,0.8174603174603174,0.8205128205128205,0.844298245614035,0.8076923076923077,18.19074296951294
45,B,0.8070175438596492,0.8205128205128205,0.8414786967418547,0.7948717948717948,0.7259128093719482
45,C,0.81203007518797,0.8589743589743589,0.7969924812030076,0.7628205128205128,17.30631709098816
45,D,0.7986633249791144,0.8205128205128205,0.8444026733500417,0.7692307692307693,9.69812297821045
46,A,0.7786131996658312,0.7948717948717948,0.8111946532999165,0.8012820512820513,17.842135667800903
46,B,0.8362573099415205,0.8717948717948718,0.8122389306599833,0.8141025641025641,0.8306372165679932
46,C,0.821219715956558,0.8205128205128205,0.8109857978279031,0.7628205128205128,17.050551891326904
46,D,0.7761069340016707,0.7948717948717948,0.8408521303258145,0.8141025641025641,9.5525803565979
47,A,0.8053467000835421,0.8461538461538461,0.8402255639097744,0.8012820512820513,17.743898153305054
47,B,0.797827903091061,0.782051282051282,0.8395989974937343,0.782051282051282,0.9030120372772217
47,C,0.8354218880534671,0.8205128205128205,0.8043024227234753,0.7756410256410257,17.127792835235596
47,D,0.7969924812030075,0.8333333333333334,0.8485797827903091,0.7692307692307693,9.409165859222412
48,A,0.8187134502923976,0.7948717948717948,0.8385547201336675,0.8205128205128205,18.30310893058777
48,B,0.8099415204678362,0.8589743589743589,0.8107769423558897,0.7948717948717948,0.9179525375366211
48,C,0.8504594820384294,0.8461538461538461,0.8368838763575606,0.8012820512820513,17.658450841903687
48,D,0.8337510442773601,0.8205128205128205,0.8538011695906433,0.7948717948717948,9.459402322769165
49,A,0.8015873015873016,0.8589743589743589,0.8423141186299081,0.8012820512820513,18.078186988830566
49,B,0.8078529657477025,0.8076923076923077,0.8022138680033417,0.7756410256410257,0.7866592407226562
49,C,0.8170426065162907,0.8461538461538461,0.8057644110275689,0.782051282051282,17.218674182891846
49,D,0.8020050125313284,0.8589743589743589,0.8431495405179615,0.7948717948717948,9.389356851577759
50,A,0.8329156223893066,0.8205128205128205,0.8416875522138679,0.8333333333333334,17.97109866142273
50,B,0.7994987468671679,0.8333333333333334,0.8176691729323309,0.8205128205128205,0.8299930095672607
50,C,0.7928153717627402,0.8461538461538461,0.793233082706767,0.8076923076923077,16.92894172668457
50,D,0.810359231411863,0.8333333333333334,0.846595655806182,0.8012820512820513,9.584452867507935
51,A,0.7852965747702589,0.7948717948717948,0.8348997493734337,0.8269230769230769,17.955506801605225
51,B,0.826232247284879,0.7948717948717948,0.8373015873015874,0.8076923076923077,0.7451028823852539
51,C,0.8370927318295739,0.8333333333333334,0.8408521303258145,0.8012820512820513,17.04555320739746
51,D,0.8404344193817879,0.8461538461538461,0.8517126148705096,0.7948717948717948,9.238542556762695
